row_id	entry	type	source_page	status_v1
D_00001	ئا	headword	001_col1.png	verified
D_00002	ئاباغا	headword	001_col1.png	verified
D_00003	ئاباقى	headword	001_col1.png	verified
D_00004	ئاباڭ	headword	001_col1.png	verified
D_00005	ئابالى	headword	001_col1.png	verified
D_00006	ئابام	headword	001_col1.png	verified
D_00007	ئاباماق	headword	001_col1.png	verified
D_00008	ئابايا	headword	001_col1.png	verified
D_00009	ئابايىقى	headword	001_col1.png	verified
D_00010	ئابخاز	headword	001_col1.png	verified
D_00011	ئابخازچە	headword	001_col1.png	verified
D_00012	ئابدال	headword	001_col1.png	verified
D_00013	ئابداللىق	headword	001_col1.png	verified
D_00014	ئابدىمىلىك	headword	001_col1.png	verified
D_00015	ئابرۇي	headword	001_col1.png	verified
D_00016	ئابرۇيپەرەس	headword	001_col1.png	verified
D_00017	ئابرۇيپەرەسلىك	headword	001_col2.png	verified
D_00018	ئابرۇيسىز	headword	001_col2.png	verified
D_00019	ئابرۇيسىزلان	verb_stem	001_col2.png	verified
D_00020	ئابرۇيسىزلاندۇر	verb_stem	001_col2.png	verified
D_00021	ئابرۇيسىزلاندۇرۇش	verb_stem	001_col2.png	verified
D_00022	ئابرۇيسىزلاندۇرۇل	verb_stem	001_col2.png	verified
D_00023	ئابرۇيسىزلىق	headword	001_col2.png	verified
D_00024	ئابرۇيلۇق	headword	001_col2.png	verified
D_00025	ئابزاس	headword	001_col2.png	verified
D_00025-i1	ئابزاسى	inflected	001_col2.png	verified
D_00026	ئابزاسلىق	headword	001_col2.png	verified
D_00027	ئابستراكت	headword	001_col2.png	verified
D_00028	ئابستراكتلاش	verb_stem	001_col3.png	verified
D_00029	ئابستراكتلاشتۇر	verb_stem	001_col3.png	verified
D_00030	ئابستراكتلاشتۇرۇش	verb_stem	001_col3.png	verified
D_00031	ئابستراكتلاشتۇرۇل	verb_stem	001_col3.png	verified
D_00032	ئابستراكتلىق	headword	001_col3.png	verified
D_00033	ئابسېسسا	headword	001_col3.png	verified
D_00033-i1	ئابسېسساسى	inflected	001_col3.png	verified
D_00034	ئابھاۋا	headword	001_col3.png	verified
D_00035	ئابۇنە	headword	001_col3.png	verified
D_00036	ئابۇنىچى	headword	001_col3.png	verified
D_00037	ئابېرتىن	headword	002_col1.png	verified
D_00038	ئابېرراتسىيە	headword	002_col1.png	verified
D_00039	ئابىچەشمە	headword	002_col1.png	verified
D_00040	ئابىدارما	headword	002_col1.png	verified
D_00041	ئابىدە	headword	002_col1.png	verified
D_00042	ئابىدماق	headword	002_col1.png	verified
D_00043	ئابىزەمزەم	headword	002_col1.png	verified
D_00043-v1	زەمزەم سۈيى	variant	002_col1.png	verified
D_00044	ئابىكەۋسەر	headword	002_col1.png	verified
D_00044-v1	كەۋسەر سۈيى	variant	002_col1.png	verified
D_00045	ئابىناۋات	headword	002_col1.png	verified
D_00046	ئابىھايات	headword	002_col1.png	verified
D_00046-v1	ھاياتلىق سۈيى	variant	002_col1.png	verified
D_00047	ئاپا¹	headword	002_col1.png	verified
D_00048	ئاپا²	headword	002_col1.png	verified
D_00049	ئاپاتىت	headword	002_col1.png	verified
D_00050	ئاپار	verb_stem	002_col1.png	verified
D_00051	ئاپارغۇز	verb_stem	002_col1.png	verified
D_00052	ئاپاش	headword	002_col1.png	verified
D_00053	ئاپاق - چاپاق	headword	002_col1.png	verified
D_00054	ئاپەت	headword	002_col1.png	verified
D_00055	ئاپەتلىك	headword	002_col1.png	verified
D_00056	ئاپپارات	headword	002_col1.png	verified
D_00056-i1	ئاپپاراتى	inflected	002_col1.png	verified
D_00057	ئاپپاراتچى	headword	002_col1.png	verified
D_00058	ئاپپاراتخانا	headword	002_col1.png	verified
D_00059	ئاپپاق	headword	002_col1.png	verified
D_00060	ئاپپاي	headword	002_col1.png	verified
D_00061	ئاپپىلىكاتۇرا	headword	002_col1.png	verified
D_00062	ئاپتاپ	headword	002_col2.png	verified
D_00063	ئاپتاپپەرەس	headword	002_col2.png	verified
D_00064	ئاپتاپپەرەسلىك	headword	002_col2.png	verified
