sub_id	parent_id	phrase	source_page	status_v1
D_00014-s1	D_00014	ئابدىمىلىك پىلىسى	001_col1.png	verified
D_00014-s2	D_00014	ئابدىمىلىك مېيى	001_col1.png	verified
D_00014-s3	D_00014	ئابدىمىلىك ئىشقارى	001_col1.png	verified
D_00015-s1	D_00015	ئابرۇيى كۆتۈرۈلمەك	001_col1.png	verified
D_00015-s2	D_00015	ئابرۇيىنى تۆكمەك	001_col1.png	verified
D_00015-s3	D_00015	ئابرۇيىنى قىلماق	001_col1.png	verified
D_00019-s1	D_00019	ئابرۇيسىزلانماق	001_col2.png	verified
D_00019-s2	D_00019	ئابرۇيسىزلىنىش	001_col2.png	verified
D_00020-s1	D_00020	ئابرۇيسىزلاندۇرماق	001_col2.png	verified
D_00020-s2	D_00020	ئابرۇيسىزلاندۇرۇش	001_col2.png	verified
D_00021-s1	D_00021	ئابرۇيسىزلاندۇرۇشماق	001_col2.png	verified
D_00021-s2	D_00021	ئابرۇيسىزلاندۇرۇشۇش	001_col2.png	verified
D_00022-s1	D_00022	ئابرۇيسىزلاندۇرۇلماق	001_col2.png	verified
D_00022-s2	D_00022	ئابرۇيسىزلاندۇرۇلۇش	001_col2.png	verified
D_00027-s1	D_00027	ئابستراكت ئەمگەك	001_col2.png	verified
D_00027-s2	D_00027	ئابستراكت تەپەككۇر	001_col2.png	verified
D_00027-s3	D_00027	ئابستراكت سەنئەت	001_col2.png	verified
D_00027-s4	D_00027	ئابستراكت ماكان	001_col2.png	verified
D_00027-s5	D_00027	ئابستراكت ھەرىكەت	001_col2.png	verified
D_00027-s6	D_00027	ئابستراكت ئۇقۇم	001_col2.png	verified
D_00028-s1	D_00028	ئابستراكتلاشماق	001_col3.png	verified
D_00028-s2	D_00028	ئابستراكتلىشىش	001_col3.png	verified
D_00029-s1	D_00029	ئابستراكتلاشتۇرماق	001_col3.png	verified
D_00029-s2	D_00029	ئابستراكتلاشتۇرۇش	001_col3.png	verified
D_00030-s1	D_00030	ئابستراكتلاشتۇرۇشماق	001_col3.png	verified
D_00030-s2	D_00030	ئابستراكتلاشتۇرۇشۇش	001_col3.png	verified
D_00031-s1	D_00031	ئابستراكتلاشتۇرۇلماق	001_col3.png	verified
D_00031-s2	D_00031	ئابستراكتلاشتۇرۇلۇش	001_col3.png	verified
D_00033-s1	D_00033	ئابسېسسا ئوقى	001_col3.png	verified
D_00035-s1	D_00035	ئابۇنە پۇلى	001_col3.png	verified
D_00050-s1	D_00050	ئاپارماق	002_col1.png	verified
D_00050-s2	D_00050	ئاپىرىش	002_col1.png	verified
D_00051-s1	D_00051	ئاپارغۇزماق	002_col1.png	verified
D_00051-s2	D_00051	ئاپارغۇزۇش	002_col1.png	verified
D_00053-s1	D_00053	ئاپاق - چاپاق بولماق	002_col1.png	verified
D_00054-s1	D_00054	ئاپەتتىن قۇتقۇزماق	002_col1.png	verified
D_00054-s2	D_00054	ئاپەتكە ئۇچرىماق	002_col1.png	verified
D_00055-s1	D_00055	ئاپەتلىك ئۆزگىرىش	002_col1.png	verified
D_00062-s1	D_00062	ئاپتاپ چاقماق	002_col2.png	verified
D_00062-s2	D_00062	ئاپتاپ ئۆتمەك	002_col2.png	verified
D_00062-s3	D_00062	ئاپتاپ ۋاننىسى	002_col2.png	verified
D_00062-s4	D_00062	ئاپتاپ يېمەك	002_col2.png	verified
D_00062-s5	D_00062	ئاپتاپقا سالماق	002_col2.png	verified
D_00063-s1	D_00063	ئاپتاپپەرەس پورى	002_col2.png	verified
D_00063-s2	D_00063	ئاپتاپپەرەس توقىچى	002_col2.png	verified
D_00065-s1	D_00065	ئاپتاپخۇمار ئۆسۈملۈك	002_col2.png	verified
D_00066-s1	D_00066	ئاپتاپسىنماق	002_col2.png	verified
D_00066-s2	D_00066	ئاپتاپسىنىش	002_col2.png	verified
D_00067-s1	D_00067	ئاپتاپسىندۇرماق	002_col2.png	verified
D_00067-s2	D_00067	ئاپتاپسىندۇرۇش	002_col2.png	verified
D_00068-s1	D_00068	ئاپتاپسىنىشماق	002_col2.png	verified
D_00068-s2	D_00068	ئاپتاپسىنىشىش	002_col2.png	verified
D_00070-s1	D_00070	ئاپتوبۇس بېكىتى	002_col2.png	verified
D_00073-s1	D_00073	ئاپتور بايانى	002_col2.png	verified
D_00073-s2	D_00073	ئاپتور كاتالوگى	002_col2.png	verified
D_00073-s3	D_00073	ئاپتور نومۇرى	002_col2.png	verified
D_00074-s1	D_00074	ئاپتورلۇق ھەققى	002_col2.png	verified
D_00074-s2	D_00074	ئاپتورلۇق ھوقۇقى	002_col2.png	verified
D_00077-s1	D_00077	ئاپتول پومپا	002_col3.png	verified
D_00077-s2	D_00077	ئاپتول سۈزگۈچ	002_col3.png	verified
D_00077-s3	D_00077	ئاپتول مانومېتىرى	002_col3.png	verified
D_00080-s1	D_00080	ئاپتوماتلاشماق	002_col3.png	verified
D_00080-s2	D_00080	ئاپتوماتلىشىش	002_col3.png	verified
D_00081-s1	D_00081	ئاپتوماتلاشتۇرماق	002_col3.png	verified
D_00081-s2	D_00081	ئاپتوماتلاشتۇرۇش	002_col3.png	verified
D_00082-s1	D_00082	ئاپتوماتلاشتۇرۇشماق	002_col3.png	verified
D_00082-s2	D_00082	ئاپتوماتلاشتۇرۇشۇش	002_col3.png	verified
D_00083-s1	D_00083	ئاپتوماتلاشتۇرۇلماق	002_col3.png	verified
D_00083-s2	D_00083	ئاپتوماتلاشتۇرۇلۇش	002_col3.png	verified
D_00085-s1	D_00085	ئاپتوماتىك ئايرىغۇچ	002_col3.png	verified
D_00085-s2	D_00085	ئاپتوماتىك باشقۇرۇش	002_col3.png	verified
D_00085-s3	D_00085	ئاپتوماتىك تىزگىنلەش	002_col3.png	verified
D_00085-s4	D_00085	ئاپتوماتىك ئىسپېكتىرومېتىر	002_col3.png	verified
D_00086-s1	D_00086	ئاپتوموبىل مۇسابىقىسى	002_col3.png	verified
D_00087-s1	D_00087	ئاپتونوم رايون	002_col3.png	verified
D_00087-s2	D_00087	ئاپتونوم ناھىيە	002_col3.png	verified
D_00087-s3	D_00087	ئاپتونوم ئوبلاست	002_col3.png	verified
D_00088-s1	D_00088	ئاپتونومىيە قانۇنى	003_col1.png	verified
D_00088-s2	D_00088	ئاپتونومىيە ھوقۇقى	003_col1.png	verified
D_00088-s3	D_00088	ئاپتونومىيە ئورگىنى	003_col1.png	verified
D_00111-s1	D_00111	ئاپوللو شايى كېپىنىكى	003_col1.png	verified
D_00113-s1	D_00113	ئاپىرىدە بولماق	003_col1.png	verified
D_00113-s2	D_00113	ئاپىرىدە قىلماق	003_col1.png	verified
D_00114-s1	D_00114	ئاپىرىشماق	003_col1.png	verified
D_00114-s2	D_00114	ئاپىرىشىش	003_col1.png	verified
D_00115-s1	D_00115	ئاپىرىن ئوقۇماق	003_col2.png	verified
D_00115-s2	D_00115	ئاپىرىن ئېيتماق	003_col2.png	verified
D_00117-s1	D_00117	ئات باش قوڭۇر ئېيىق	003_col2.png	verified
D_00117-s10	D_00117	ئات چىشسىمان راك	003_col2.png	verified
D_00117-s11	D_00117	ئات سالماق	003_col2.png	verified
D_00117-s12	D_00117	ئات فېرمىسى	003_col2.png	verified
D_00117-s13	D_00117	ئات قۇيرۇق بۇلۇت	003_col2.png	verified
D_00117-s14	D_00117	ئات قۇيرۇق قارىغاي	003_col2.png	verified
D_00117-s15	D_00117	ئات قېپچەر	003_col2.png	verified
D_00117-s16	D_00117	ئات كۈچى	003_col2.png	verified
D_00117-s17	D_00117	ئات مىنمەك	003_col2.png	verified
D_00117-s18	D_00117	ئات ئويۇنى	003_col2.png	verified
D_00117-s19	D_00117	ئات ۋاباسى	003_col2.png	verified
D_00117-s2	D_00117	ئات باش ئېيىق	003_col2.png	verified
D_00117-s20	D_00117	ئات ئېغىلى	003_col2.png	verified
D_00117-s21	D_00117	ئات يالى	003_col2.png	verified
D_00117-s22	D_00117	ئات يىلى	003_col2.png	verified
D_00117-s3	D_00117	ئات باقار	003_col2.png	verified
D_00117-s4	D_00117	ئات بەيگىسى	003_col2.png	verified
D_00117-s5	D_00117	ئات توپى = چەۋگەن	003_col2.png	verified
D_00117-s6	D_00117	ئات چاپار	003_col2.png	verified
D_00117-s7	D_00117	ئات چاپتۇرماق	003_col2.png	verified
D_00117-s8	D_00117	ئات چىش پۇرچاق	003_col2.png	verified
D_00117-s9	D_00117	ئات چىش كۆممىقوناق	003_col2.png	verified
D_00118-s1	D_00118	ئات تويى	003_col2.png	verified
D_00118-s2	D_00118	ئات قويماق	003_col2.png	verified
D_00118-s3	D_00118	ئات كۆتۈرمەك	003_col2.png	verified
D_00119-s1	D_00119	ئاتماق	003_col3.png	verified
D_00119-s2	D_00119	ئېتىش	003_col3.png	verified
D_00120-s1	D_00120	ئاتا باشقا بىر تۇغقان	003_col3.png	verified
D_00120-s10	D_00120	ئاتا ھەرە	003_col3.png	verified
D_00120-s11	D_00120	ئاتا يوللۇق	003_col3.png	verified
D_00120-s12	D_00120	ئاتاڭغا رەھمەت	003_col3.png	verified
D_00120-s13	D_00120	ئاتاڭغا لەنەت	003_col3.png	verified
D_00120-s14	D_00120	ئاتام زامان	003_col3.png	verified
D_00120-s15	D_00120	ئاتىلار سۆزى	003_col3.png	verified
D_00120-s2	D_00120	ئاتا بولماق	003_col3.png	verified
D_00120-s3	D_00120	ئاتا پارتىيە	003_col3.png	verified
D_00120-s4	D_00120	ئاتا تۇتماق	003_col3.png	verified
D_00120-s5	D_00120	ئاتا جەمەتى	003_col3.png	verified
D_00120-s6	D_00120	ئاتا كەسىپ	003_col3.png	verified
D_00120-s7	D_00120	ئاتا مۇندەرىجە	003_col3.png	verified
D_00120-s8	D_00120	ئاتا مىراس	003_col3.png	verified
D_00120-s9	D_00120	ئاتا نەسىللىك خىروموسوما	003_col3.png	verified
D_00121-s1	D_00121	ئاتا قىلماق	003_col3.png	verified
D_00122-s1	D_00122	ئاتىماق	003_col3.png	verified
D_00122-s2	D_00122	ئاتاش	003_col3.png	verified
D_00122-s3	D_00122	ئاتاش جۈملە	003_col3.png	verified
D_00123-s1	D_00123	ئاتا - ئانا تەربىيەسى	003_col3.png	verified
D_00136-s1	D_00136	ئاتاشماق	004_col1.png	verified
D_00136-s2	D_00136	ئاتىشىش	004_col1.png	verified
D_00139-s1	D_00139	ئاتاق ئاتا	004_col1.png	verified
D_00139-s2	D_00139	ئاتاق ئانا	004_col1.png	verified
D_00139-s3	D_00139	ئاتاق بالا	004_col1.png	verified
D_00139-s4	D_00139	ئاتاق چىقارماق	004_col1.png	verified
D_00139-s5	D_00139	ئاتىقى چىقماق	004_col1.png	verified
D_00147-s1	D_00147	ئاتالماق	004_col1.png	verified
D_00147-s2	D_00147	ئاتىلىش	004_col1.png	verified
D_00148-s1	D_00148	ئاتالغۇ تەبىرى	004_col1.png	verified
D_00150-s1	D_00150	ئاتالغۇسىز سان	004_col1.png	verified
D_00153-s1	D_00153	ئاتالغۇلۇق سان	004_col2.png	verified
D_00162-s1	D_00162	ئاتانماق	004_col2.png	verified
D_00162-s2	D_00162	ئاتىنىش	004_col2.png	verified
D_00172-s1	D_00172	ئاتچوت قىلماق	004_col2.png	verified
D_00182-s1	D_00182	ئاتسېتات كىسلاتاسى	004_col3.png	verified
D_00185-s1	D_00185	ئاتسېتىل خولىن	004_col3.png	verified
D_00185-s2	D_00185	ئاتسېتىل سالىتسىلات كىسلاتاسى	004_col3.png	verified
D_00187-s1	D_00187	ئاتسىل توشۇغۇچى ئاقسىل	004_col3.png	verified
D_00196-s1	D_00196	ئاتقۇرماق	004_col3.png	verified
D_00196-s2	D_00196	ئاتقۇرۇش	004_col3.png	verified
D_00197-s1	D_00197	ئاتقۇرۇشماق	004_col3.png	verified
D_00197-s2	D_00197	ئاتقۇرۇشۇش	004_col3.png	verified
D_00198-s1	D_00198	ئاتقۇرۇلماق	004_col3.png	verified
D_00198-s2	D_00198	ئاتقۇرۇلۇش	004_col3.png	verified
D_00199-s1	D_00199	ئاتقۇزماق	004_col3.png	verified
D_00199-s2	D_00199	ئاتقۇزۇش	004_col3.png	verified
D_00203-s1	D_00203	ئاتكوس يول	005_col1.png	verified
D_00204-s1	D_00204	ئاتلىماق	005_col1.png	verified
D_00204-s2	D_00204	ئاتلاش	005_col1.png	verified
D_00205-s1	D_00205	ئاتلاتماق	005_col1.png	verified
D_00205-s2	D_00205	ئاتلىتىش	005_col1.png	verified
D_00207-s1	D_00207	ئاتلاشماق	005_col1.png	verified
D_00207-s2	D_00207	ئاتلىشىش	005_col1.png	verified
D_00212-s1	D_00212	ئاتلانماق	005_col1.png	verified
D_00212-s2	D_00212	ئاتلىنىش	005_col1.png	verified
D_00213-s1	D_00213	ئاتلانتىك ئوكيان	005_col1.png	verified
D_00214-s1	D_00214	ئاتلاندۇرماق	005_col1.png	verified
D_00214-s2	D_00214	ئاتلاندۇرۇش	005_col1.png	verified
D_00215-s1	D_00215	ئاتلاندۇرۇشماق	005_col1.png	verified
D_00215-s2	D_00215	ئاتلاندۇرۇشۇش	005_col1.png	verified
D_00216-s1	D_00216	ئاتلاندۇرۇلماق	005_col1.png	verified
D_00216-s2	D_00216	ئاتلاندۇرۇلۇش	005_col1.png	verified
D_00219-s1	D_00219	ئاتلىق ئەسكەر	005_col2.png	verified
D_00219-s2	D_00219	ئاتلىق قىسىم	005_col2.png	verified
D_00219-s3	D_00219	ئاتلىق ليەن	005_col2.png	verified
D_00219-s4	D_00219	ئاتلىق ماھارەت كۆرسىتىش	005_col2.png	verified
D_00219-s5	D_00219	ئاتلىق مىلتىق	005_col2.png	verified
D_00221-s1	D_00221	ئاتلىما ئارىلىقى	005_col2.png	verified
D_00221-s2	D_00221	ئاتلىما دىيامېتىرى	005_col2.png	verified
D_00221-s3	D_00221	ئاتلىما قاتار	005_col2.png	verified
D_00222-s1	D_00222	ئاتلىنىشماق	005_col2.png	verified
D_00222-s2	D_00222	ئاتلىنىشىش	005_col2.png	verified
D_00223-s1	D_00223	ئاتما توپ	005_col2.png	verified
D_00223-s2	D_00223	ئاتما نەيزە	005_col2.png	verified
D_00224-s1	D_00224	ئاتموسفېرا ئايلانما ئېقىمى	005_col2.png	verified
D_00224-s2	D_00224	ئاتموسفېرا خىمىيەسى	005_col2.png	verified
D_00224-s3	D_00224	ئاتموسفېرا فىزىكىسى	005_col2.png	verified
D_00224-s4	D_00224	ئاتموسفېرا قاتلىمى	005_col2.png	verified
D_00224-s5	D_00224	ئاتموسفېرا ئوپتىكىسى	005_col2.png	verified
D_00225-s1	D_00225	ئاتموسفېرالىق كاشىلا	005_col2.png	verified
D_00233-s1	D_00233	ئاتوم بومبىسى	005_col2.png	verified
D_00233-s10	D_00233	ئاتوم ئېغىرلىقى	005_col2.png	verified
D_00233-s11	D_00233	ئاتوم ئىسپېكتىرى	005_col2.png	verified
D_00233-s12	D_00233	ئاتوم يادروسى	005_col2.png	verified
D_00233-s2	D_00233	ئاتوم تەلىماتى	005_col2.png	verified
D_00233-s3	D_00233	ئاتوم فىزىكىسى	005_col2.png	verified
D_00233-s4	D_00233	ئاتوم قازىنى	005_col2.png	verified
D_00233-s5	D_00233	ئاتوم قۇتۇپلىنىشچانلىقى	005_col2.png	verified
D_00233-s6	D_00233	ئاتوم قۇۋۋىتى	005_col2.png	verified
D_00233-s7	D_00233	ئاتوم ماسسىسى	005_col2.png	verified
D_00233-s8	D_00233	ئاتوم مېغىزى	005_col2.png	verified
D_00233-s9	D_00233	ئاتوم نەزەرىيەسى	005_col2.png	verified
D_00240-s1	D_00240	ئاتىدارچىلىق قىلماق	005_col3.png	verified
D_00243-s1	D_00243	ئاتىستاتلىق سۈزگۈچ	005_col3.png	verified
D_00248-s1	D_00248	ئاتىكارچىلىق قىلماق	005_col3.png	verified
D_00251-s1	D_00251	ئاتىلىق بۇرچ	005_col3.png	verified
D_00251-s2	D_00251	ئاتىلىق تۈزۈم	005_col3.png	verified
D_00251-s3	D_00251	ئاتىلىق سىستېمىسى	005_col3.png	verified
D_00251-s4	D_00251	ئاتىلىق مۇھەببەت	005_col3.png	verified
D_00251-s5	D_00251	ئاتىلىق ۋە ئانىلىقلار تۈۋرۈكى	005_col3.png	verified
D_00252-s1	D_00252	ئاتىلىق گۈل	006_col1.png	verified
D_00252-s2	D_00252	ئاتىلىق مال	006_col1.png	verified
D_00253-s1	D_00253	ئاتىلىقسىز كۆپىيىش	006_col1.png	verified
D_00259-s1	D_00259	ئاجرىماق	006_col1.png	verified
D_00259-s2	D_00259	ئاجراش	006_col1.png	verified
D_00260-s1	D_00260	ئاجراتماق	006_col1.png	verified
D_00260-s2	D_00260	ئاجرىتىش	006_col1.png	verified
D_00260-s3	D_00260	ئاجرىتىپ چىقىرىش	006_col1.png	verified
D_00260-s4	D_00260	ئاجرىتىپ يۆتكەش	006_col1.png	verified
D_00261-s1	D_00261	ئاجراتما بەز	006_col1.png	verified
D_00262-s1	D_00262	ئاجراشماق	006_col1.png	verified
D_00262-s2	D_00262	ئاجرىشىش	006_col1.png	verified
D_00263-s1	D_00263	ئاجراشتۇرماق	006_col1.png	verified
D_00263-s2	D_00263	ئاجراشتۇرۇش	006_col1.png	verified
D_00266-s1	D_00266	ئاجرالماق	006_col2.png	verified
D_00266-s2	D_00266	ئاجرىلىش	006_col2.png	verified
D_00267-s1	D_00267	ئاجرالما قېتىشما	006_col2.png	verified
D_00268-s1	D_00268	ئاجرىتىلماق	006_col2.png	verified
D_00268-s2	D_00268	ئاجرىتىلىش	006_col2.png	verified
D_00272-s1	D_00272	ئاجىز ئاساس	006_col2.png	verified
D_00272-s2	D_00272	ئاجىز پاسون	006_col2.png	verified
D_00272-s3	D_00272	ئاجىز تومۇر	006_col2.png	verified
D_00272-s4	D_00272	ئاجىز كەلمەك	006_col2.png	verified
D_00272-s5	D_00272	ئاجىز كىسلاتا	006_col2.png	verified
D_00272-s6	D_00272	ئاجىز كىسلاتالىق بوياق	006_col2.png	verified
D_00272-s7	D_00272	ئاجىز ئېلېكترولىت	006_col2.png	verified
D_00272-s8	D_00272	ئاجىز ئىشقار	006_col2.png	verified
D_00273-s1	D_00273	ئاجىزلىماق	006_col2.png	verified
D_00273-s2	D_00273	ئاجىزلاش	006_col2.png	verified
D_00274-s1	D_00274	ئاجىزلاتماق	006_col2.png	verified
D_00274-s2	D_00274	ئاجىزلىتىش	006_col2.png	verified
D_00276-s1	D_00276	ئاجىزلاشماق	006_col2.png	verified
D_00276-s2	D_00276	ئاجىزلىشىش	006_col2.png	verified
D_00277-s1	D_00277	ئاجىزلاشتۇرماق	006_col2.png	verified
D_00277-s2	D_00277	ئاجىزلاشتۇرۇش	006_col2.png	verified
D_00278-s1	D_00278	ئاجىزلاشتۇرۇشماق	006_col3.png	verified
D_00278-s2	D_00278	ئاجىزلاشتۇرۇشۇش	006_col3.png	verified
D_00279-s1	D_00279	ئاجىزلاشتۇرۇلماق	006_col3.png	verified
D_00279-s2	D_00279	ئاجىزلاشتۇرۇلۇش	006_col3.png	verified
D_00280-s1	D_00280	ئاجىزلىق قىلماق	006_col3.png	verified
D_00281-s1	D_00281	ئاچ قالماق	006_col3.png	verified
D_00281-s2	D_00281	ئاچ قورساق	006_col3.png	verified
D_00281-s3	D_00281	ئاچ قويماق	006_col3.png	verified
D_00281-s4	D_00281	ئاچ كۆز	006_col3.png	verified
D_00281-s5	D_00281	ئاچ كۆزلۈك	006_col3.png	verified
D_00281-s6	D_00281	ئاچ كۆزلۈك قىلماق	006_col3.png	verified
D_00281-s7	D_00281	ئاچ كىرمەك	006_col3.png	verified
D_00281-s8	D_00281	ئاچ لىم	006_col3.png	verified
D_00282-s1	D_00282	ئاچ سېرىق	006_col3.png	verified
D_00282-s2	D_00282	ئاچ قاپىيە	006_col3.png	verified
D_00282-s3	D_00282	ئاچ قىزىل	006_col3.png	verified
D_00282-s4	D_00282	ئاچ كۆك	006_col3.png	verified
