sub_id	parent_id	phrase	source_page	status_v1
D90-4-00050	D90-4-00049	قاپتىلىغا ئالماسلىق	008_1R.png	unverified
D90-4-00061	D90-4-00060	قاپسالما يۇقىرى بېسىم	009_1R.png	unverified
D90-4-00090	D90-4-00089	قاپلانغان ئېگەر	012_1R.png	unverified
D90-4-00093	D90-4-00092	قاپلىق سىم	012_1R.png	unverified
D90-4-00097	D90-4-00096	قاپىيە كەلتۈرمەك	013_1R.png	unverified
D90-4-00098	D90-4-00096	قاپىيىسى كەلگەندە	013_1R.png	unverified
D90-4-00099	D90-4-00096	قاپىيىگە سالماق	013_1R.png	unverified
D90-4-00109	D90-4-00108	قات بۇلۇت	014_1R.png	unverified
D90-4-00110	D90-4-00108	قات گۈل	014_1R.png	unverified
D90-4-00117	D90-4-00116	قاتار بولماق	015_2L.png	unverified
D90-4-00155	D90-4-00154	قاتتىق قول بولماق	020_2L.png	unverified
D90-4-00201	D90-4-00200	قاتلام ئارا سۇ	026_1R.png	unverified
D90-4-00202	D90-4-00200	قاتلام يۈزى	026_1R.png	unverified
D90-4-00212	D90-4-00211	قاتما سۆز	027_2L.png	unverified
D90-4-00213	D90-4-00211	قاتما كۆل جىنس	027_2L.png	unverified
D90-4-00226	D90-4-00225	قاتناپ ئوقۇماق	030_1R.png	unverified
D90-4-00245	D90-4-00244	قاتۇرۇلغان بېنزىن بومبا	032_1R.png	unverified
D90-4-00316	D90-4-00315	قارىغا ئېتىش تەنھەرىكىتى	040_2L.png	unverified
D90-4-00317	D90-4-00315	قارىغا ئېتىش مەيدانى	040_2L.png	unverified
D90-4-00465	D90-4-00464	قاراتما سۆز	055_2L.png	unverified
D90-4-00496	D90-4-00495	قاراشەھەر ئېتى	059_2L.png	unverified
D90-4-00554	D90-4-00553	قاراۋۇللۇق چازىسى	067_2L.png	unverified
D90-4-00555	D90-4-00553	قاراۋۇللۇق قىلماق	067_2L.png	unverified
D90-4-00565	D90-4-00564	قارچىغا كۆز	069_1R.png	unverified
D90-4-00585	D90-4-00584	قارشىلىشىش مۇسابىقىسى	072_1R.png	unverified
D90-4-00593	D90-4-00592	قارشىلىقلىق تېرمومېتر	073_1R.png	unverified
D90-4-00614	D90-4-00613	قارلىغاچ قۇيرۇقلۇق چاپان	075_1R.png	unverified
D90-4-00615	D90-4-00613	قارلىغاچ ياقا	075_1R.png	unverified
D90-4-00617	D90-4-00616	قارلىغاچسىمان چىقچىق	075_1R.png	unverified
D90-4-00618	D90-4-00616	قارلىغاچسىمان قۇشقاچ	075_1R.png	unverified
D90-4-00622	D90-4-00621	قارلىق تاشلىماق	076_1R.png	unverified
D90-4-00637	D90-4-00636	قارنى-كۆكسى كەڭ	077_2L.png	unverified
D90-4-00647	D90-4-00646	قارىتاختا گېرىتى	078_2L.png	unverified
D90-4-00692	D90-4-00691	قارىكۆل قويى	084_2L.png	unverified
D90-4-00718	D90-4-00717	قارىماي قەغەز	089_1R.png	unverified
D90-4-00721	D90-4-00720	قارىمايلىق بېتون	089_1R.png	unverified
D90-4-00747	D90-4-00746	قارىئۆرۈك شەربىتى	092_1R.png	unverified
D90-4-00748	D90-4-00746	قارىئۆرۈك مۇرابباسى	092_1R.png	unverified
D90-4-00753	D90-4-00752	قارىياغاچ پوستىكى	092_2L.png	unverified
D90-4-00767	D90-4-00766	قازاق تىلى	094_2L.png	unverified
D90-4-00772	D90-4-00771	قازان ئاسماق	095_1R.png	unverified
D90-4-00801	D90-4-00800	قازما بايلىق	097_2L.png	unverified
D90-4-00804	D90-4-00803	قازمىچىلىق سانائىتى	098_1R.png	unverified
D90-4-00836	D90-4-00835	قاسماق باغلىماق	101_1R.png	unverified
D90-4-00843	D90-4-00842	قاسىراقلىق ھايۋانلار	101_2L.png	unverified
D90-4-00868	D90-4-00867	قاش بېغى	104_1R.png	unverified
D90-4-00918	D90-4-00917	قاش-كۆزلىرىنى ئاتماق ← قاش-كۆزلىرىنى ئويناتماق	108_2L.png	unverified
D90-4-00919	D90-4-00917	قاش-كۆزلىرىنى ئويناتماق	108_2L.png	unverified
D90-4-00927	D90-4-00926	قاشلىق ئەتمەك	109_2L.png	unverified
D90-4-00928	D90-4-00926	قاشلىق قويماق ← قاشلىق ئەتمەك	109_2L.png	unverified
D90-4-00944	D90-4-00943	قاغجىراش يېرىقى	111_2L.png	unverified
