row_id	entry	type	source_page	status_v1
D90-6-00001	ۋ	headword	001_1R.png	unverified
D90-6-00002	ۋابا	headword	001_1R.png	unverified
D90-6-00005	ۋابال	headword	001_1R.png	unverified
D90-6-00006	ۋابال قىلماق	headword	001_2L.png	unverified
D90-6-00007	ۋاپا	headword	001_2L.png	unverified
D90-6-00009	ۋاپا قىلماق	headword	002_1R.png	unverified
D90-6-00010	ۋاپات	headword	002_1R.png	unverified
D90-6-00011	ۋاپات بولماق	headword	002_1R.png	unverified
D90-6-00012	ۋاپات قىلماق	headword	002_1R.png	unverified
D90-6-00013	ۋاپادار	headword	002_1R.png	unverified
D90-6-00014	ۋاپادارلىق	headword	002_1R.png	unverified
D90-6-00015	ۋاپاسىز	headword	002_1R.png	unverified
D90-6-00016	ۋاپاسىزلىق	headword	002_1R.png	unverified
D90-6-00017	ۋاپالىق	headword	002_2L.png	unverified
D90-6-00018	ۋاپانامە	headword	002_2L.png	unverified
D90-6-00019	ۋاپباغ	headword	002_2L.png	unverified
D90-6-00021	ۋاپۇرۇش	headword	002_2L.png	unverified
D90-6-00022	ۋاپۇرۇشلۇق	headword	002_2L.png	unverified
D90-6-00023	ۋات	headword	002_2L.png	verified
D90-6-00028	ۋات-ۋات	headword	003_1R.png	unverified
D90-6-00026	ۋاتلىق	headword	002_2L.png	unverified
D90-6-00027	ۋاتمېتىر	headword	003_1R.png	unverified
D90-6-00029	ۋاتېرپاس	headword	003_1R.png	verified
D90-6-00029-v1	شەيتان	variant	003_1R.png	verified
D90-6-00030	ۋاتىلداتماق	headword	003_1R.png	unverified
D90-6-00031	ۋاتىلداشماق	headword	003_1R.png	unverified
D90-6-00032	ۋاتىلداق	headword	003_1R.png	unverified
D90-6-00033	ۋاتىلدىماق	headword	003_1R.png	unverified
D90-6-00034	ۋاجىپ	headword	003_1R.png	unverified
D90-6-00035	ۋاجىپلىق	headword	003_1R.png	unverified
D90-6-00036	ۋاچ	headword	003_2L.png	unverified
D90-6-00037	ۋاچچىدە	headword	003_2L.png	unverified
D90-6-00038	ۋاچ-ۋۇچ	headword	003_2L.png	unverified
D90-6-00039	ۋاچىر	headword	003_2L.png	unverified
D90-6-00040	ۋاچىر-ۋاچىر	headword	003_2L.png	unverified
D90-6-00041	ۋاچىر-ۋۇچۇر	headword	003_2L.png	unverified
D90-6-00042	ۋاچىلداتماق	headword	003_2L.png	unverified
D90-6-00043	ۋاچىلداشماق	headword	003_2L.png	unverified
