dictionary	row_id	entry	type	source_page	status_v1	parent_id
Imla 2009	D_03092	باجىڭگىر	headword	070_col1.png	unverified	
Imla 2009	D_03237	بازىمەن	headword	073_col1.png	unverified	
Imla 2009	D_03350	باشى	headword	076_col2.png	unverified	
Imla 2009	D_03452	باگۇ	headword	078_col2.png	unverified	
Imla 2009	D_03452-s1	باگۇ ئەدەبىياتى	subentry	078_col2.png	unverified	D_03452
Imla 2009	D_03870	بەن	headword	086_col2.png	unverified	
Imla 2009	D_03870-i1	بەنى	inflected	086_col2.png	unverified	
Imla 2009	D_03878	بەندىڭ	headword	086_col3.png	unverified	
Imla 2009	D_03879	بەنزە	headword	086_col3.png	unverified	
Imla 2009	D_03879-s1	بەنزە ئالماشماق	subentry	086_col3.png	unverified	D_03879
Imla 2009	D_03919	بوتۇڭ	headword	087_col2.png	unverified	
Imla 2009	D_03929	بوجاڭ	headword	087_col2.png	unverified	
Imla 2009	D_03929-i1	بوجاڭى	inflected	087_col2.png	unverified	
Imla 2009	D_03929-s1	بوجاڭلىق	subentry	087_col2.png	unverified	D_03929
Imla 2009	D_04119	بولا	headword	091_col1.png	unverified	
Imla 2009	D_04119-s1	بولا بولماق	subentry	091_col1.png	unverified	D_04119
Imla 2009	D_04119-s2	بولا قىلماق	subentry	091_col1.png	unverified	D_04119
Imla 2009	D_04129	بولاڭخۇي	headword	091_col2.png	unverified	
Imla 2009	D_04275	بۇدۇڭتەي	headword	094_col1.png	unverified	
Imla 2009	D_04275-s1	بۇدۇڭتەي تۇرماق	subentry	094_col1.png	unverified	D_04275
Imla 2009	D_05146	بىڭسى	headword	111_col3.png	unverified	
Imla 2009	D_05738	پاڭچۇ	headword	124_col2.png	unverified	
Imla 2009	D_05739	پاڭشىڭ	headword	124_col2.png	unverified	
Imla 2009	D_06253	پەيجاڭ	headword	135_col2.png	unverified	
Imla 2009	D_06253-i1	پەيجاڭى	inflected	135_col2.png	unverified	
Imla 2009	D_06255	پەيجۇ	headword	135_col2.png	unverified	
Imla 2009	D_06255-i1	پەيجۇيۇم، پەيجۇيۇڭ، پەيجۇسى	inflected	135_col2.png	unverified	
Imla 2009	D_06255-s1	پەيجۇسى يوق	subentry	135_col2.png	unverified	D_06255
Imla 2009	D_06407	پوكەي	headword	138_col2.png	unverified	
Imla 2009	D_06407-s1	پوكەي تۈزۈمى	subentry	138_col2.png	unverified	D_06407
Imla 2009	D_06407-s2	پوكەي نازارەتچىلىكى	subentry	138_col2.png	unverified	D_06407
Imla 2009	D_06407-s3	پوكەي ھاۋالىسى	subentry	138_col2.png	unverified	D_06407
Imla 2009	D_06536	پۇجۇڭ	headword	141_col1.png	unverified	
Imla 2009	D_06651	پۇڭمەنزە	headword	143_col3.png	unverified	
Imla 2009	D_07301	پىنتاڭ	headword	157_col1.png	unverified	
Imla 2009	D_07890	تاڭجاڭ	headword	170_col3.png	unverified	
Imla 2009	D_07890-i1	تاڭجاڭى	inflected	170_col3.png	unverified	
Imla 2009	D_07895	تاڭزۇڭزا	headword	171_col1.png	unverified	
Imla 2009	D_07895-s1	تاڭزۇڭزا بايرىمى	subentry	171_col1.png	unverified	D_07895
Imla 2009	D_07900	تاڭشىر	headword	171_col1.png	unverified	
Imla 2009	D_07904	تاڭگازا	headword	171_col1.png	unverified	
Imla 2009	D_07904-s1	تاڭگازا چىشلىۋالغاندەك	subentry	171_col1.png	unverified	D_07904
Imla 2009	D_08265	تەتەي	headword	179_col1.png	unverified	
Imla 2009	D_08851	تەنزە	headword	192_col2.png	unverified	
Imla 2009	D_08851-s1	تەنزە يايماق	subentry	192_col2.png	unverified	D_08851
Imla 2009	D_08933	تەيپىڭتيەنگو	headword	194_col2.png	unverified	
Imla 2009	D_09160	توشۇڭ	headword	199_col2.png	unverified	
Imla 2009	D_09160-s1	توشۇڭ ئارغامچا	subentry	199_col2.png	unverified	D_09160
Imla 2009	D_09270	توكاڭ	headword	202_col1.png	unverified	
Imla 2009	D_09458	تۇەن	headword	206_col2.png	unverified	
Imla 2009	D_09459	تۇەنجاڭ	headword	206_col2.png	unverified	
Imla 2009	D_09459-i1	تۇەنجاڭى	inflected	206_col2.png	unverified	
Imla 2009	D_09714	تۇڭ	headword	212_col2.png	unverified	
Imla 2009	D_10949	تىيزا	headword	239_col3.png	unverified	
Imla 2009	D_10958	جا	headword	240_col1.png	unverified	
Imla 2009	D_10982	جاجازا	headword	240_col3.png	unverified	
Imla 2009	D_10983	جادا	headword	240_col3.png	unverified	
Imla 2009	D_10983-s1	جادىغا باسماق	subentry	240_col3.png	unverified	D_10983
Imla 2009	D_11112	جاڭدۇ	headword	243_col2.png	unverified	
Imla 2009	D_11115	جاڭزا	headword	243_col2.png	unverified	
Imla 2009	D_11126	جاڭيۇ	headword	243_col3.png	unverified	
Imla 2009	D_11181	جامبۇ	headword	244_col3.png	unverified	
Imla 2009	D_11250	جاۋەن	headword	246_col3.png	unverified	
Imla 2009	D_11396	جوتاڭ	headword	249_col3.png	unverified	
Imla 2009	D_11396-s1	جوتاڭ چالماق	subentry	249_col3.png	unverified	D_11396
Imla 2009	D_11397	جوتۇ	headword	249_col3.png	unverified	
Imla 2009	D_11422	جوزا	headword	250_col1.png	unverified	
Imla 2009	D_11457	جۇ	headword	250_col3.png	unverified	
Imla 2009	D_11457-s1	جۇ ئالماق	subentry	250_col3.png	unverified	D_11457
Imla 2009	D_11457-s2	جۇ كىرمەك	subentry	250_col3.png	unverified	D_11457
Imla 2009	D_11505	جۇڭ	headword	251_col3.png	unverified	
Imla 2009	D_11505-s1	جۇڭ سۆرەشمەك	subentry	251_col3.png	unverified	D_11505
Imla 2009	D_11506	جۇڭجياڭ	headword	251_col3.png	unverified	
Imla 2009	D_11509	جۇڭسەنفۇ	headword	251_col3.png	unverified	
Imla 2009	D_11510	جۇڭشى	headword	251_col3.png	unverified	
Imla 2009	D_11511	جۇڭشياۋ	headword	251_col3.png	unverified	
Imla 2009	D_11519	جۇڭۋېي	headword	252_col1.png	unverified	
Imla 2009	D_11553	جۇۋاۋا	headword	252_col3.png	unverified	
Imla 2009	D_11562	جۇيازا	headword	252_col3.png	unverified	
Imla 2009	D_11634	جۈنتۈەن	headword	254_col1.png	unverified	
Imla 2009	D_11635	جۈنجاڭ	headword	254_col1.png	unverified	
Imla 2009	D_11638	جۈنۋېي	headword	254_col2.png	unverified	
Imla 2009	D_11682	جىتۇەنجۈن	headword	255_col1.png	unverified	
Imla 2009	D_11725	جىزا	headword	256_col1.png	unverified	
Imla 2009	D_11730	جىسا	headword	256_col1.png	unverified	
Imla 2009	D_11785	جىڭموما	headword	257_col2.png	unverified	
Imla 2009	D_11819	جىمبۇ	headword	258_col1.png	unverified	
Imla 2009	D_11893	جياڭگۇەن	headword	259_col3.png	unverified	
Imla 2009	D_11894	جياڭلىڭ	headword	259_col3.png	unverified	
Imla 2009	D_11903	جىيەندۈي	headword	259_col3.png	unverified	
Imla 2009	D_11984	چاجاڭ	headword	262_col1.png	unverified	
Imla 2009	D_11984-s1	چاجاڭ تىكمەك	subentry	262_col1.png	unverified	D_11984
Imla 2009	D_12224	چاڭپوزا	headword	266_col3.png	unverified	
Imla 2009	D_12232	چاڭچىلە	headword	266_col3.png	unverified	
Imla 2009	D_12526	چەن	headword	272_col3.png	unverified	
Imla 2009	D_12528	چەندازا	headword	272_col3.png	unverified	
Imla 2009	D_12540	چەي	headword	272_col3.png	unverified	
Imla 2009	D_12541	چەيدو	headword	272_col3.png	unverified	
Imla 2009	D_12542	چەيزە	headword	272_col3.png	unverified	
Imla 2009	D_12542-s1	چەيزە رەڭ	subentry	272_col3.png	unverified	D_12542
Imla 2009	D_12750	چۇخەي	headword	276_col3.png	unverified	
Imla 2009	D_13190	چى	headword	285_col2.png	unverified	
Imla 2009	D_13321	چىزا	headword	288_col1.png	unverified	
Imla 2009	D_13438	چىڭلۇن	headword	290_col3.png	unverified	
Imla 2009	D_13640	خاسىڭ	headword	295_col1.png	unverified	
Imla 2009	D_13867	خەي	headword	300_col2.png	unverified	
Imla 2009	D_13868	خەيدەي	headword	300_col2.png	unverified	
Imla 2009	D_13880	خەيلى	headword	300_col2.png	unverified	
Imla 2009	D_13880-s1	خەيلى بولماق	subentry	300_col2.png	unverified	D_13880
Imla 2009	D_13880-s2	خەيلى قىلماق	subentry	300_col2.png	unverified	D_13880
Imla 2009	D_13882	خو	headword	300_col2.png	unverified	
Imla 2009	D_13907	خوخەنزە	headword	301_col1.png	unverified	
Imla 2009	D_13958	خوشو	headword	301_col3.png	unverified	
Imla 2009	D_13980	خۇاجەر	headword	302_col2.png	unverified	
Imla 2009	D_14072	خۇلاڭزا	headword	304_col2.png	unverified	
Imla 2009	D_14110	خۇيزۇ	headword	305_col1.png	unverified	
Imla 2009	D_14278	داتاڭ	headword	308_col2.png	unverified	
Imla 2009	D_14278-s1	داتاڭ سورىقى	subentry	308_col2.png	unverified	D_14278
Imla 2009	D_14286	داجياڭ	headword	308_col3.png	unverified	
Imla 2009	D_14286-i1	داجياڭى	inflected	308_col3.png	unverified	
Imla 2009	D_14298	دادەن	headword	309_col1.png	unverified	
Imla 2009	D_14307	دادۇر	headword	309_col1.png	unverified	
Imla 2009	D_14308	دادۈي	headword	309_col1.png	unverified	
Imla 2009	D_14309	دادۈيجاڭ	headword	309_col1.png	unverified	
Imla 2009	D_14309-i1	دادۈيجاڭى	inflected	309_col1.png	unverified	
Imla 2009	D_14359	دارىن	headword	310_col1.png	unverified	
Imla 2009	D_14377	داشياۋ	headword	310_col2.png	unverified	
Imla 2009	D_14377-i1	داشىياۋ	inflected	310_col2.png	unverified	
Imla 2009	D_14548	داۋبەن	headword	314_col1.png	unverified	
Imla 2009	D_14554	داۋلى	headword	314_col1.png	unverified	
Imla 2009	D_14561	داۋېي	headword	314_col1.png	unverified	
Imla 2009	D_14579	دايۇەنشۇەي	headword	314_col3.png	unverified	
Imla 2009	D_14580	دايى	headword	314_col3.png	unverified	
Imla 2009	D_14736	دەڭ	headword	317_col3.png	unverified	
Imla 2009	D_14737	دەڭجا	headword	317_col3.png	unverified	
Imla 2009	D_14767	دەللىڭ	headword	318_col2.png	unverified	
Imla 2009	D_14804	دەن	headword	319_col1.png	unverified	
Imla 2009	D_14851	دوتەي	headword	320_col1.png	unverified	
Imla 2009	D_14860	دودەن	headword	320_col2.png	unverified	
Imla 2009	D_15031	دومىلە	headword	324_col1.png	unverified	
Imla 2009	D_15031-s1	دومىلە باسماق	subentry	324_col1.png	unverified	D_15031
Imla 2009	D_15052	دۇبەن	headword	324_col2.png	unverified	
Imla 2009	D_15097	دۇفۇ	headword	325_col2.png	unverified	
Imla 2009	D_15130	دۇنخۇاڭ	headword	326_col1.png	unverified	
Imla 2009	D_15212	دۈدۈزە	headword	328_col2.png	unverified	
Imla 2009	D_15281	دۈيجاڭ	headword	330_col1.png	unverified	
Imla 2009	D_15281-i1	دۈيجاڭى	inflected	330_col1.png	unverified	
Imla 2009	D_15283	دۈيزە	headword	330_col1.png	unverified	
Imla 2009	D_15383	دىبەن	headword	332_col2.png	unverified	
Imla 2009	D_15385	دىپەي	headword	332_col2.png	unverified	
Imla 2009	D_15407	دىچۆلياڭ	headword	332_col3.png	unverified	
Imla 2009	D_15484	دىكا	headword	334_col2.png	unverified	
Imla 2009	D_15484-s1	دىكا چاپان	subentry	334_col2.png	unverified	D_15484
Imla 2009	D_15544	دىلۇن	headword	335_col2.png	unverified	
Imla 2009	D_16220	زاسۈي	headword	349_col3.png	unverified	
Imla 2009	D_16249	زاكۇ	headword	350_col1.png	unverified	
Imla 2009	D_16302	زاۋېن	headword	351_col2.png	unverified	
Imla 2009	D_16490	زۇڭتۇڭ	headword	355_col3.png	unverified	
Imla 2009	D_16491	زۇڭتۇڭلۇق	headword	355_col3.png	unverified	
Imla 2009	D_16491-s1	زۇڭتۇڭلۇق تۈزۈم	subentry	355_col3.png	unverified	D_16491
Imla 2009	D_16492	زۇڭلى	headword	355_col3.png	unverified	
Imla 2009	D_16492-s1	زۇڭلىلىق	subentry	355_col3.png	unverified	D_16492
Imla 2009	D_16611	زىڭلى	headword	358_col1.png	unverified	
Imla 2009	D_16611-s1	زىڭلى قىلماق	subentry	358_col1.png	unverified	D_16611
Imla 2009	D_17557	سەنپەن	headword	378_col2.png	unverified	
Imla 2009	D_17557-s1	سەنپەن سوقماق	subentry	378_col2.png	unverified	D_17557
Imla 2009	D_17559	سەنتاڭرۇ	headword	378_col2.png	unverified	
Imla 2009	D_17575	سەنلۇر	headword	378_col3.png	unverified	
Imla 2009	D_17578	سەنمۇ	headword	378_col3.png	unverified	
Imla 2009	D_17632	سەي	headword	379_col3.png	unverified	
Imla 2009	D_17632-s1	سەي بولماسلىق	subentry	379_col3.png	unverified	D_17632
Imla 2009	D_17632-s2	سەي پۇرچاق	subentry	379_col3.png	unverified	D_17632
Imla 2009	D_17632-s3	سەي كاۋىسى	subentry	379_col3.png	unverified	D_17632
Imla 2009	D_17639	سەيدۇ	headword	379_col3.png	unverified	
Imla 2009	D_17657	سەيۋەن	headword	380_col1.png	unverified	
Imla 2009	D_17898	سولياۋ	headword	385_col2.png	unverified	
Imla 2009	D_17898-s1	سولياۋ پالاس	subentry	385_col2.png	unverified	D_17898
Imla 2009	D_17898-s2	سولياۋ خالتا	subentry	385_col2.png	unverified	D_17898
Imla 2009	D_17898-s3	سولياۋ يوپۇق	subentry	385_col2.png	unverified	D_17898
Imla 2009	D_18948	سىلىڭ	headword	409_col3.png	unverified	
Imla 2009	D_18949	سىلىڭبۇ	headword	409_col3.png	unverified	
Imla 2009	D_18950	سىلىڭجاڭگۇەن	headword	409_col3.png	unverified	
Imla 2009	D_18951	سىلىڭگۇەن	headword	409_col3.png	unverified	
Imla 2009	D_18952	سىلىڭلىق	headword	410_col1.png	unverified	
Imla 2009	D_18952-s1	سىلىڭلىق قىلماق	subentry	410_col1.png	unverified	D_18952
Imla 2009	D_18953	سىلىڭيۇەن	headword	410_col1.png	unverified	
Imla 2009	D_19045	سىيا	headword	412_col1.png	unverified	
Imla 2009	D_19045-s1	سىيا چۈشمەك	subentry	412_col1.png	unverified	D_19045
Imla 2009	D_19266	شازا	headword	418_col1.png	unverified	
Imla 2009	D_19301	شاڭتو	headword	418_col3.png	unverified	
Imla 2009	D_19301-s1	شاڭتو ئات	subentry	418_col3.png	unverified	D_19301
Imla 2009	D_19302	شاڭجياڭ	headword	418_col3.png	unverified	
Imla 2009	D_19302-i1	شاڭجياڭى	inflected	418_col3.png	unverified	
Imla 2009	D_19303	شاڭخادەن	headword	418_col3.png	unverified	
Imla 2009	D_19303-s1	شاڭخادەن تاۋار	subentry	418_col3.png	unverified	D_19303
Imla 2009	D_19308	شاڭزۇڭ	headword	418_col3.png	unverified	
Imla 2009	D_19309	شاڭشى	headword	418_col3.png	unverified	
Imla 2009	D_19310	شاڭشياۋ	headword	418_col3.png	unverified	
Imla 2009	D_19310-i1	شاڭشياۋى	inflected	418_col3.png	unverified	
Imla 2009	D_19311	شاڭۋېي	headword	418_col3.png	unverified	
Imla 2009	D_19312	شاڭيو	headword	418_col3.png	unverified	
Imla 2009	D_19439	شاۋۋېي	headword	421_col3.png	unverified	
Imla 2009	D_19548	شەڭگەن	headword	424_col1.png	unverified	
Imla 2009	D_19548-s1	شەڭگەن يامۇلى	subentry	424_col1.png	unverified	D_19548
Imla 2009	D_19551	شەللەڭزە	headword	424_col2.png	unverified	
Imla 2009	D_19559	شەمبىزە	headword	424_col2.png	unverified	
Imla 2009	D_19603	شوپاڭ	headword	425_col2.png	unverified	
Imla 2009	D_19678	شويى	headword	427_col1.png	unverified	
Imla 2009	D_19686	شۇجى	headword	427_col2.png	unverified	
Imla 2009	D_19728	شۇمپەن	headword	428_col1.png	unverified	
Imla 2009	D_19792	شۈڭگەن	headword	429_col1.png	unverified	
Imla 2009	D_19830	شېڭمۇ	headword	430_col1.png	unverified	
Imla 2009	D_19837	شى	headword	430_col1.png	unverified	
Imla 2009	D_19841	شىبەن	headword	430_col1.png	unverified	
Imla 2009	D_19881	شىتۇەن	headword	430_col3.png	unverified	
Imla 2009	D_20057	شىنجاڭ	headword	434_col2.png	unverified	
Imla 2009	D_20057-s1	شىنجاڭ سەمەندىرى	subentry	434_col2.png	unverified	D_20057
Imla 2009	D_20057-s2	شىنجاڭ كېلەرى	subentry	434_col2.png	unverified	D_20057
Imla 2009	D_20665	فاگاۋ	headword	447_col3.png	unverified	
Imla 2009	D_20667	فاڭجېن	headword	447_col3.png	unverified	
Imla 2009	D_20755	فۇگۈەن	headword	449_col2.png	unverified	
Imla 2009	D_23662	كاجى	headword	522_col1.png	unverified	
Imla 2009	D_23851	كاڭمەنزە	headword	525_col2.png	unverified	
Imla 2009	D_23859	كالاڭچۇر	headword	525_col3.png	unverified	
Imla 2009	D_24332	كەنجەر	headword	535_col3.png	unverified	
Imla 2009	D_24610	كويزا	headword	541_col2.png	unverified	
Imla 2009	D_24610-s1	كويزا سالماق	subentry	541_col2.png	unverified	D_24610
Imla 2009	D_25974	گادا	headword	575_col1.png	unverified	
Imla 2009	D_26040	گاگار	headword	576_col3.png	unverified	
Imla 2009	D_26040-s1	گاگار ئوينىماق	subentry	576_col3.png	unverified	D_26040
Imla 2009	D_26044	گاڭبەن	headword	577_col1.png	unverified	
Imla 2009	D_26046	گاڭپەن	headword	577_col1.png	unverified	
Imla 2009	D_26047	گاڭزا	headword	577_col1.png	unverified	
Imla 2009	D_26047-s1	گاڭزىغا باسماق	subentry	577_col1.png	unverified	D_26047
Imla 2009	D_26050	گاڭگۇڭ	headword	577_col1.png	unverified	
Imla 2009	D_26163	گەنجى	headword	580_col2.png	unverified	
Imla 2009	D_26164	گەنجىڭ	headword	580_col2.png	unverified	
Imla 2009	D_26177	گەيجاڭ	headword	580_col3.png	unverified	
Imla 2009	D_26177-i1	گەيجاڭى	inflected	580_col3.png	unverified	
Imla 2009	D_26178	گوبى	headword	580_col3.png	unverified	
Imla 2009	D_26179	گوپەي	headword	580_col3.png	unverified	
Imla 2009	D_26180	گوجەي	headword	580_col3.png	unverified	
Imla 2009	D_26180-s1	گوجەي يۆگىمەك	subentry	580_col3.png	unverified	D_26180
Imla 2009	D_26186	گوشۇڭ	headword	580_col3.png	unverified	
Imla 2009	D_26203	گوۋۇيۈەن	headword	581_col1.png	unverified	
Imla 2009	D_26249	گۇڭپۇڭ	headword	582_col1.png	unverified	
Imla 2009	D_26250	گۇڭتۇر	headword	582_col1.png	unverified	
Imla 2009	D_26253	گۇڭشى	headword	582_col1.png	unverified	
Imla 2009	D_26294	گۇمپا	headword	582_col3.png	unverified	
Imla 2009	D_26314	گۇي	headword	583_col1.png	unverified	
Imla 2009	D_26809	لازا	headword	593_col2.png	unverified	
Imla 2009	D_27083	لوبا	headword	598_col2.png	unverified	
Imla 2009	D_27100	لوزۇڭ	headword	598_col3.png	unverified	
Imla 2009	D_27137	لوڭيەن	headword	599_col3.png	unverified	
Imla 2009	D_27144	لومودى	headword	599_col3.png	unverified	
Imla 2009	D_27147	لويى	headword	599_col3.png	unverified	
Imla 2009	D_27149	لۇشيەن	headword	599_col3.png	unverified	
Imla 2009	D_27173	لۈي	headword	600_col1.png	unverified	
Imla 2009	D_27174	لۈيجاڭ	headword	600_col1.png	unverified	
Imla 2009	D_27174-i1	لۈيجاڭى	inflected	600_col1.png	unverified	
Imla 2009	D_27239	لىجى	headword	601_col1.png	unverified	
